rank,citation_group,priority_score,status,date,type,title,chapter,next_action,source_note_draft,catalog_url,pdf_url
174,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Bosnia - Geneva Negotiations,Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Jane Holl's Files, Bosnia - Geneva Negotiations, NAID 40482314.",https://catalog.archives.gov/id/40482314,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/14/4823/40482314/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_005/42-t-7585484-20080994F-005-007-2016/42_t_7585484_20080994F_005_007_2016_Page_001.JPG
175,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,"Bosnia - Hercegovina, April 1993 [6]",Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Jane Holl's Files, Bosnia - Hercegovina, April 1993 [6], NAID 40482339.",https://catalog.archives.gov/id/40482339,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/39/4823/40482339/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_008/42-t-7585484-20080994F-008-002-2016/42_t_7585484_20080994F_008_002_2016_Page_001.JPG
176,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,"Bosnia - Hercegovina, February 1993 [1]",Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Jane Holl's Files, Bosnia - Hercegovina, February 1993 [1], NAID 40482320.",https://catalog.archives.gov/id/40482320,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/20/4823/40482320/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_006/42-t-7585484-20080994F-006-001-2016/42_t_7585484_20080994F_006_001_2016_Page_001.JPG
177,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,"Bosnia - Hercegovina, February 1993 [2]",Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Jane Holl's Files, Bosnia - Hercegovina, February 1993 [2], NAID 40482321.",https://catalog.archives.gov/id/40482321,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/21/4823/40482321/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_006/42-t-7585484-20080994F-006-002-2016/42_t_7585484_20080994F_006_002_2016_Page_001.JPG
178,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,"Bosnia - Hercegovina, July - August 1993 [1]",Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Jane Holl's Files, Bosnia - Hercegovina, July - August 1993 [1], NAID 40482352.",https://catalog.archives.gov/id/40482352,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/52/4823/40482352/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_009/42-t-7585484-20080994F-009-006-2016/42_t_7585484_20080994F_009_006_2016_Page_001.JPG
179,Copy-Ready Drafts,8,working draft ready,1993-01-01,Scout Lead,"Bosnia - Hercegovina, May - June 1993 [3]",Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Jane Holl's Files, Bosnia - Hercegovina, May - June 1993 [3], NAID 40482344.",https://catalog.archives.gov/id/40482344,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/44/4823/40482344/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_008/42-t-7585484-20080994F-008-007-2016/42_t_7585484_20080994F_008_007_2016_Page_001.JPG
180,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,"Bosnia - Hercegovina, May - June 1993 [8]",Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Jane Holl's Files, Bosnia - Hercegovina, May - June 1993 [8], NAID 40482349.",https://catalog.archives.gov/id/40482349,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/49/4823/40482349/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_009/42-t-7585484-20080994F-009-003-2016/42_t_7585484_20080994F_009_003_2016_Page_001.JPG
181,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,"Bosnia - Hercegovina, May - June 1993 [9]",Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Jane Holl's Files, Bosnia - Hercegovina, May - June 1993 [9], NAID 40482350.",https://catalog.archives.gov/id/40482350,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/4823/40482350/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_009/42-t-7585484-20080994F-009-004-2016/42_t_7585484_20080994F_009_004_2016_Page_001.JPG
182,Copy-Ready Drafts,8,working draft ready,1993-01-01,Scout Lead,Bosnia - Letters [1],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - Letters [1], NAID 40482459.",https://catalog.archives.gov/id/40482459,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/59/4824/40482459/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_020/42-t-7585486-20080994F-020-005-2016/42_t_7585486_20080994F_020_005_2016_Page_001.JPG
183,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Bosnia - Letters [2],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - Letters [2], NAID 40482460.",https://catalog.archives.gov/id/40482460,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/4824/40482460/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_020/42-t-7585486-20080994F-020-006-2016/42_t_7585486_20080994F_020_006_2016_Page_001.JPG
184,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Bosnia - Letters [3],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - Letters [3], NAID 40482461.",https://catalog.archives.gov/id/40482461,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/61/4824/40482461/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_020/42-t-7585486-20080994F-020-007-2016/42_t_7585486_20080994F_020_007_2016_Page_001.JPG
185,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Bosnia - Letters [4],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - Letters [4], NAID 40482462.",https://catalog.archives.gov/id/40482462,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/62/4824/40482462/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_020/42-t-7585486-20080994F-020-008-2016/42_t_7585486_20080994F_020_008_2016_Page_001.JPG
186,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Bosnia - Lift Arms Embargo [2],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - Lift Arms Embargo [2], NAID 40482466.",https://catalog.archives.gov/id/40482466,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/66/4824/40482466/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_021/42-t-7585486-20080994F-021-003-2016/42_t_7585486_20080994F_021_003_2016_Page_001.JPG
187,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Bosnia - Lift Arms Embargo [4],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - Lift Arms Embargo [4], NAID 40482468.",https://catalog.archives.gov/id/40482468,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/68/4824/40482468/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_021/42-t-7585486-20080994F-021-005-2016/42_t_7585486_20080994F_021_005_2016_Page_001.JPG
188,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Bosnia - Lift Arms Embargo [5],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - Lift Arms Embargo [5], NAID 40482469.",https://catalog.archives.gov/id/40482469,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/69/4824/40482469/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_021/42-t-7585486-20080994F-021-006-2016/42_t_7585486_20080994F_021_006_2016_Page_001.JPG
189,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Bosnia - Lift Arms Embargo [7],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - Lift Arms Embargo [7], NAID 40482471.",https://catalog.archives.gov/id/40482471,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/71/4824/40482471/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_021/42-t-7585486-20080994F-021-008-2016/42_t_7585486_20080994F_021_008_2016_Page_001.JPG
190,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Bosnia - NATO,Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Jane Holl's Files, Bosnia - NATO, NAID 40482395.",https://catalog.archives.gov/id/40482395,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/95/4823/40482395/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_014/42-t-7585484-20080994F-014-003-2016/42_t_7585484_20080994F_014_003_2016_Page_001.JPG
191,Copy-Ready Drafts,8,working draft ready,1993-01-01,Scout Lead,Bosnia - NATO [1],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - NATO [1], NAID 40482473.",https://catalog.archives.gov/id/40482473,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/73/4824/40482473/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_021/42-t-7585486-20080994F-021-010-2016/42_t_7585486_20080994F_021_010_2016_Page_001.JPG
192,Copy-Ready Drafts,8,working draft ready,1993-01-01,Scout Lead,Bosnia - NATO [2],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - NATO [2], NAID 40482474.",https://catalog.archives.gov/id/40482474,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/74/4824/40482474/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_022/42-t-7585486-20080994F-022-001-2016/42_t_7585486_20080994F_022_001_2016_Page_001.JPG
193,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Bosnia - NATO [3],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - NATO [3], NAID 40482475.",https://catalog.archives.gov/id/40482475,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/75/4824/40482475/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_022/42-t-7585486-20080994F-022-002-2016/42_t_7585486_20080994F_022_002_2016_Page_001.JPG
194,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Bosnia - Papers [2],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - Papers [2], NAID 40482477.",https://catalog.archives.gov/id/40482477,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/4824/40482477/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_022/42-t-7585486-20080994F-022-004-2016/42_t_7585486_20080994F_022_004_2016_Page_001.JPG
195,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Bosnia - Papers [3],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - Papers [3], NAID 40482478.",https://catalog.archives.gov/id/40482478,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/78/4824/40482478/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_022/42-t-7585486-20080994F-022-005-2016/42_t_7585486_20080994F_022_005_2016_Page_001.JPG
196,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Bosnia - Papers [5],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - Papers [5], NAID 40482480.",https://catalog.archives.gov/id/40482480,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/80/4824/40482480/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_022/42-t-7585486-20080994F-022-007-2016/42_t_7585486_20080994F_022_007_2016_Page_001.JPG
197,Copy-Ready Drafts,8,working draft ready,1993-01-01,Scout Lead,Bosnia - Papers [6],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - Papers [6], NAID 40482481.",https://catalog.archives.gov/id/40482481,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/81/4824/40482481/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_022/42-t-7585486-20080994F-022-008-2016/42_t_7585486_20080994F_022_008_2016_Page_001.JPG
198,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Bosnia - Reports [2],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - Reports [2], NAID 40482496.",https://catalog.archives.gov/id/40482496,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/96/4824/40482496/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_024/42-t-7585486-20080994F-024-004-2016/42_t_7585486_20080994F_024_004_2016_Page_001.JPG
199,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Bosnia - Reports [3],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - Reports [3], NAID 40482497.",https://catalog.archives.gov/id/40482497,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/97/4824/40482497/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_024/42-t-7585486-20080994F-024-005-2016/42_t_7585486_20080994F_024_005_2016_Page_001.JPG
200,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Bosnia - Talking Points [1],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - Talking Points [1], NAID 40482503.",https://catalog.archives.gov/id/40482503,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/3/4825/40482503/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_024/42-t-7585486-20080994F-024-011-2016/42_t_7585486_20080994F_024_011_2016_Page_001.JPG
201,Copy-Ready Drafts,8,working draft ready,1993-01-01,Scout Lead,Bosnia - Talking Points [2],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - Talking Points [2], NAID 40482504.",https://catalog.archives.gov/id/40482504,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4825/40482504/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_025/42-t-7585486-20080994F-025-001-2016/42_t_7585486_20080994F_025_001_2016_Page_001.JPG
202,Copy-Ready Drafts,8,working draft ready,1993-01-01,Scout Lead,Bosnia - Talking Points [5],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - Talking Points [5], NAID 40482507.",https://catalog.archives.gov/id/40482507,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/7/4825/40482507/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_025/42-t-7585486-20080994F-025-004-2016/42_t_7585486_20080994F_025_004_2016_Page_001.JPG
203,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Bosnia: Public Information/Media [3],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Jane Holl's Files, Bosnia: Public Information/Media [3], NAID 40482405.",https://catalog.archives.gov/id/40482405,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/4824/40482405/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_015/42-t-7585484-20080994F-015-003-2016/42_t_7585484_20080994F_015_003_2016_Page_001.JPG
204,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Bosnia: Public Information/Media [5],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Jane Holl's Files, Bosnia: Public Information/Media [5], NAID 40482407.",https://catalog.archives.gov/id/40482407,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/7/4824/40482407/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_015/42-t-7585484-20080994F-015-005-2016/42_t_7585484_20080994F_015_005_2016_Page_001.JPG
205,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,"DC0011 DC Meeting on Bosnia-Hercegovina, February 26, 1993",Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, DC0011 DC Meeting on Bosnia-Hercegovina, February 26, 1993, NAID 41051326.",https://catalog.archives.gov/id/41051326,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/7585709/42-t-7585709-20120798F-004-017-2016.pdf
206,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,"DC0012 DC Meeting on Bosnia-Hercegovina, March 4, 1993",Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, DC0012 DC Meeting on Bosnia-Hercegovina, March 4, 1993, NAID 41051327.",https://catalog.archives.gov/id/41051327,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/7585709/42-t-7585709-20120798F-004-018-2016.pdf
207,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,"DC0013 DC Meeting on Bosnia-Hercegovina, March 9, 1993",Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, DC0013 DC Meeting on Bosnia-Hercegovina, March 9, 1993, NAID 41051328.",https://catalog.archives.gov/id/41051328,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/7585709/42-t-7585709-20120798F-004-019-2016.pdf
208,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,"DC0065 DC Meeting on Bosnia-Hercegovina Humanitarian Assistance, October 28, 1993",Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, DC0065 DC Meeting on Bosnia-Hercegovina Humanitarian Assistance, October 28, 1993, NAID 41051333.",https://catalog.archives.gov/id/41051333,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/7585709/42-t-7585709-20120798F-004-024-2016.pdf
209,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,"DC0070 DC Meeting on Bosnia-Hercegovina Humanitarian Assistance, November 16, 1993",Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, DC0070 DC Meeting on Bosnia-Hercegovina Humanitarian Assistance, November 16, 1993, NAID 41051334.",https://catalog.archives.gov/id/41051334,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/7585709/42-t-7585709-20120798F-004-025-2016.pdf
210,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,DC0540 DC Meeting on Kosovo,Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, DC0540 DC Meeting on Kosovo, NAID 233580617.",https://catalog.archives.gov/id/233580617,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/26457815/Batch0002/26457815-20061186F-001-004-2021.pdf
211,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Elie Wiesel to President Clinton re: Kosovo Refugees,Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Elie Wiesel to President Clinton re: Kosovo Refugees, NAID 646483129.",https://catalog.archives.gov/id/646483129,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585717/a250-batch002/Wiesel-02025-001.pdf
212,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Estonia: Estonia - NATO,Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Richard Norland's Files, Estonia: Estonia - NATO, NAID 23901642.",https://catalog.archives.gov/id/23901642,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/42/9016/23901642/content/presidential-libraries/clinton/foia/2011-1036-F/2011-1036-F-JPG/Box_004/42-t-7585493-20111036F-004-012-2015/42_t_7585493_20111036F_004_012_2015_Page_001.JPG
213,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Latvia: Russia-Latvia [2],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Richard Norland's Files, Latvia: Russia-Latvia [2], NAID 23901924.",https://catalog.archives.gov/id/23901924,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscea/7585493/42-t-7585493-20111037F-008-007-2015.pdf
214,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Latvia/WTO [World Trade Organization]/[U.S. - European Union],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Keirn Brown's Files, Latvia/WTO [World Trade Organization]/[U.S. - European Union], NAID 23901914.",https://catalog.archives.gov/id/23901914,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscea/7585473/42-t-7585473-20111037F-007-015-2015.pdf
215,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Lithuania - Vilnius Conference,Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Antony Blinken's Files, Lithuania - Vilnius Conference, NAID 23902172.",https://catalog.archives.gov/id/23902172,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/72/9021/23902172/content/presidential-libraries/clinton/foia/2011-1038-F/2011-1038-F-JPG/Box_002/42-t-7585471-20111038F-002-021-2015/42_t_7585471_20111038F_002_021_2015_Page_001.JPG
216,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Lithuania [5],Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Richard Norland's Files, Lithuania [5], NAID 23902177.",https://catalog.archives.gov/id/23902177,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/9021/23902177/content/presidential-libraries/clinton/foia/2011-1038-F/2011-1038-F-JPG/Box_003/42-t-7585493-20111038F-003-001-2015/42_t_7585493_20111038F_003_001_2015_Page_001.JPG
217,Copy-Ready Drafts,8,working draft ready,1993-01-01,Scout Lead,Lithuania: Bilateral,Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Richard Norland's Files, Lithuania: Bilateral, NAID 23902181.",https://catalog.archives.gov/id/23902181,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscea/7585493/42-t-7585493-20111038F-003-005-2015.pdf
218,Copy-Ready Drafts,8,selection,1993-01-01,Scout Lead,Milan Panic to President Clinton re: Kosovo Crisis,Crisis Security Files,"Copy working source note, then verify markings, attachments, marginalia, and final placement.","Source: National Archives and Records Administration, National Archives Catalog, Milan Panic to President Clinton re: Kosovo Crisis, NAID 646483067.",https://catalog.archives.gov/id/646483067,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscrm/7585717/a250-batch002/Panic-02025-001.pdf
